Seeking And Acuity,Received: Home,Received: OP,Received: M/S,Received: ICU,Received: Turned Away,Run Number,
Sought: Home,1135,0,0,0,0,1,
Sought: OP,0,897,0,0,0,1,
Sought: IP,0,302,399,123,0,1,
Acuity 1,0,0,0,0,0,1,
Acuity 2,1135,0,0,0,0,1,
Acuity 3,0,897,0,0,0,1,
Acuity 4,0,249,387,0,0,1,
Acuity 5,0,53,12,123,0,1,
Sought: Home,1206,0,0,0,0,2,
Sought: OP,0,894,0,0,0,2,
Sought: IP,0,352,374,146,0,2,
Acuity 1,0,0,0,0,0,2,
Acuity 2,1206,0,0,0,0,2,
Acuity 3,0,894,0,0,0,2,
Acuity 4,0,274,361,0,0,2,
Acuity 5,0,78,13,146,0,2,
Sought: Home,1168,0,0,0,0,3,
Sought: OP,0,903,0,0,0,3,
Sought: IP,0,306,343,150,0,3,
Acuity 1,0,0,0,0,0,3,
Acuity 2,1168,0,0,0,0,3,
Acuity 3,0,903,0,0,0,3,
Acuity 4,0,244,331,0,0,3,
Acuity 5,0,62,12,150,0,3,
Sought: Home,1143,0,0,0,0,4,
Sought: OP,0,881,0,0,0,4,
Sought: IP,0,355,367,152,0,4,
Acuity 1,0,0,0,0,0,4,
Acuity 2,1143,0,0,0,0,4,
Acuity 3,0,881,0,0,0,4,
Acuity 4,0,285,348,0,0,4,
Acuity 5,0,70,19,152,0,4,
Sought: Home,1141,0,0,0,0,5,
Sought: OP,0,892,0,0,0,5,
Sought: IP,0,306,386,131,0,5,
Acuity 1,0,0,0,0,0,5,
Acuity 2,1141,0,0,0,0,5,
Acuity 3,0,892,0,0,0,5,
Acuity 4,0,243,379,0,0,5,
Acuity 5,0,63,7,131,0,5,
Sought: Home,1194,0,0,0,0,6,
Sought: OP,0,850,0,0,0,6,
Sought: IP,0,283,377,134,0,6,
Acuity 1,0,0,0,0,0,6,
Acuity 2,1194,0,0,0,0,6,
Acuity 3,0,850,0,0,0,6,
Acuity 4,0,214,366,0,0,6,
Acuity 5,0,69,11,134,0,6,
Sought: Home,1205,0,0,0,0,7,
Sought: OP,0,846,0,0,0,7,
Sought: IP,0,288,386,133,0,7,
Acuity 1,0,0,0,0,0,7,
Acuity 2,1205,0,0,0,0,7,
Acuity 3,0,846,0,0,0,7,
Acuity 4,0,224,374,0,0,7,
Acuity 5,0,64,12,133,0,7,
Sought: Home,1209,0,0,0,0,8,
Sought: OP,0,856,0,0,0,8,
Sought: IP,0,300,369,144,0,8,
Acuity 1,0,0,0,0,0,8,
Acuity 2,1209,0,0,0,0,8,
Acuity 3,0,856,0,0,0,8,
Acuity 4,0,262,356,0,0,8,
Acuity 5,0,38,13,144,0,8,
Sought: Home,1192,0,0,0,0,9,
Sought: OP,0,908,0,0,0,9,
Sought: IP,0,315,358,137,0,9,
Acuity 1,0,0,0,0,0,9,
Acuity 2,1192,0,0,0,0,9,
Acuity 3,0,908,0,0,0,9,
Acuity 4,0,263,347,0,0,9,
Acuity 5,0,52,11,137,0,9,
Sought: Home,1144,0,0,0,0,10,
Sought: OP,0,899,0,0,0,10,
Sought: IP,0,305,354,140,0,10,
Acuity 1,0,0,0,0,0,10,
Acuity 2,1144,0,0,0,0,10,
Acuity 3,0,899,0,0,0,10,
Acuity 4,0,240,337,0,0,10,
Acuity 5,0,65,17,140,0,10,
Sought: Home,1182,0,0,0,0,11,
Sought: OP,0,903,0,0,0,11,
Sought: IP,0,303,345,148,0,11,
Acuity 1,0,0,0,0,0,11,
Acuity 2,1182,0,0,0,0,11,
Acuity 3,0,903,0,0,0,11,
Acuity 4,0,248,339,0,0,11,
Acuity 5,0,55,6,148,0,11,
Sought: Home,1206,0,0,0,0,12,
Sought: OP,0,917,0,0,0,12,
Sought: IP,0,298,355,134,0,12,
Acuity 1,0,0,0,0,0,12,
Acuity 2,1206,0,0,0,0,12,
Acuity 3,0,917,0,0,0,12,
Acuity 4,0,231,338,0,0,12,
Acuity 5,0,67,17,134,0,12,
Sought: Home,1139,0,0,0,0,13,
Sought: OP,0,874,0,0,0,13,
Sought: IP,0,280,350,145,0,13,
Acuity 1,0,0,0,0,0,13,
Acuity 2,1139,0,0,0,0,13,
Acuity 3,0,874,0,0,0,13,
Acuity 4,0,243,340,0,0,13,
Acuity 5,0,37,10,145,0,13,
Sought: Home,1217,0,0,0,0,14,
Sought: OP,0,925,0,0,0,14,
Sought: IP,0,301,347,144,0,14,
Acuity 1,0,0,0,0,0,14,
Acuity 2,1217,0,0,0,0,14,
Acuity 3,0,925,0,0,0,14,
Acuity 4,0,245,329,0,0,14,
Acuity 5,0,56,18,144,0,14,
