Open Num,Trial Num,Run Num,Home Care Death,Home Care Recovered,Outpatient Death,Outpatient Recovered,Inpatient Death,Inpatient Recovered,Turned Away Death,Turned Away Recovered,
1,1,1,0,6733,97,5154,122,979,436,3109,
1,2,2,0,6823,82,5033,91,842,503,3235,
1,3,3,0,6752,88,5074,60,347,610,4087,
1,4,4,0,6744,116,5065,122,941,477,3345,
1,5,5,0,6886,103,4974,105,928,468,3070,
1,6,6,0,6788,92,5006,106,972,487,3296,
1,7,7,0,6750,114,5056,88,903,474,3149,
1,8,8,,,,,,,,,
1,8,9,0,6642,105,5051,93,989,441,3201,
1,9,10,0,6778,102,5031,103,823,532,3244,
1,10,11,0,6564,98,4917,100,843,516,3152,
1,1,12,0,6719,107,5060,104,839,468,3288,
1,2,13,0,6823,82,5033,95,870,486,3244,
1,3,14,0,6752,88,5074,147,960,478,3198,
1,4,15,0,6744,116,5065,114,959,512,3299,
1,5,16,0,6886,103,4974,96,942,480,3052,
1,6,17,0,6788,92,5006,109,983,475,3303,
1,7,18,0,6750,114,5056,97,908,484,3124,
1,8,19,0,6642,105,5051,96,992,474,3160,
1,9,20,0,6778,102,5031,90,840,519,3252,
1,10,21,0,6564,98,4917,98,851,519,3143,
1,1,22,0,6719,107,5060,97,848,471,3278,
1,2,23,0,6823,82,5033,92,877,481,3244,
1,3,24,0,6752,88,5074,134,977,504,3168,
1,4,25,0,6744,116,5065,120,952,497,3314,
1,5,26,0,6886,103,4974,97,950,450,3072,
1,6,27,0,6788,92,5006,123,1022,497,3274,
1,7,28,0,6750,114,5056,99,912,472,3129,
1,8,29,0,6642,105,5051,92,857,479,3305,
1,9,30,0,6778,102,5031,117,1065,533,3189,
1,10,31,0,6564,98,4917,104,849,508,3149,
1,1,32,0,6719,107,5060,89,1019,496,3428,
1,2,33,0,6823,82,5033,82,868,488,3231,
1,3,34,0,6752,88,5074,101,918,529,3189,
1,4,35,0,6744,116,5065,122,955,509,3296,
1,5,36,0,6886,103,4974,109,951,452,3056,
1,6,37,0,6788,92,5006,121,1028,502,3264,
1,7,38,0,6750,114,5056,93,922,485,3111,
1,8,39,0,6642,105,5051,91,1013,454,3163,
1,9,40,0,6778,102,5031,107,977,490,3105,
1,10,41,0,6564,98,4917,94,865,495,3157,
1,1,42,0,6719,107,5060,100,914,454,3255,
1,2,43,0,6823,82,5033,86,887,478,3280,
1,3,44,0,6752,88,5074,132,1044,511,3295,
1,4,45,0,6744,116,5065,94,959,496,3178,
1,5,46,0,6886,103,4974,109,955,460,3044,
1,6,47,0,6788,92,5006,110,1007,496,3267,
1,7,48,0,6750,114,5056,93,926,492,3099,
1,8,49,0,6642,105,5051,89,988,484,3191,
1,9,50,0,6778,102,5031,100,990,481,3107,
1,10,51,0,6564,98,4917,104,859,497,3151,
1,1,52,0,6719,107,5060,99,918,469,3237,
1,2,53,0,6823,82,5033,90,886,483,3235,
1,3,54,0,6752,88,5074,113,973,498,3198,
1,4,55,0,6744,116,5065,106,953,498,3169,
1,5,56,0,6886,103,4974,105,963,471,3025,
1,6,57,0,6788,92,5006,111,1017,504,3195,
1,7,58,0,6750,114,5056,90,933,481,3105,
1,8,59,0,6642,105,5051,83,999,471,3197,
1,9,60,0,6778,102,5031,102,919,482,3150,
