Open Set,Trial Num,Select EpiCurve,Select Capacity,Select Crowding,Crowding Ratio,Select Min Acuity Inpatient,Select Min Acuity Referral,Select Min Acuity ICU,Select RN NoShow Rate,Select RN Loss Over Time,Balk Time (hrs),Num Hospitals,Sim Duration (wks),Run Number,Num Arrivals (sim),Turned Away (hrs),Results_Name,Population Size,Sweep_AAC_Beds,Sweep_ICU_Beds,
1,1,11,1,1,,4,4,5,,2,24,1,12,1,4858,24,323_CapacitySweep_dump,100000,50,5,
1,2,11,1,1,,4,4,5,,2,24,1,12,2,4947,24,323_CapacitySweep_dump,100000,50,5,
1,3,11,1,1,,4,4,5,,2,24,1,12,3,4804,24,323_CapacitySweep_dump,100000,50,5,
1,4,11,1,1,,4,4,5,,2,24,1,12,4,4906,24,323_CapacitySweep_dump,100000,50,5,
1,5,11,1,1,,4,4,5,,2,24,1,12,5,4773,24,323_CapacitySweep_dump,100000,50,5,
1,6,11,1,1,,4,4,5,,2,24,1,12,6,4827,24,323_CapacitySweep_dump,100000,50,5,
1,7,11,1,1,,4,4,5,,2,24,1,12,7,4759,24,323_CapacitySweep_dump,100000,50,5,
1,8,11,1,1,,4,4,5,,2,24,1,12,8,4915,24,323_CapacitySweep_dump,100000,50,5,
1,9,11,1,1,,4,4,5,,2,24,1,12,9,4879,24,323_CapacitySweep_dump,100000,50,5,
1,10,11,1,1,,4,4,5,,2,24,1,12,10,4839,24,323_CapacitySweep_dump,100000,50,5,
1,11,11,1,1,,4,4,5,,2,24,1,12,11,4890,24,323_CapacitySweep_dump,100000,50,5,
1,12,11,1,1,,4,4,5,,2,24,1,12,12,4887,24,323_CapacitySweep_dump,100000,50,5,
1,13,11,1,1,,4,4,5,,2,24,1,12,13,4853,24,323_CapacitySweep_dump,100000,50,5,
1,14,11,1,1,,4,4,5,,2,24,1,12,14,4956,24,323_CapacitySweep_dump,100000,50,5,
1,15,11,1,1,,4,4,5,,2,24,1,12,15,4792,24,323_CapacitySweep_dump,100000,50,5,
1,1,11,1,1,,4,4,5,,2,24,1,12,16,4849,24,323_CapacitySweep_dump,100000,50,6,
1,2,11,1,1,,4,4,5,,2,24,1,12,17,4947,24,323_CapacitySweep_dump,100000,50,6,
1,3,11,1,1,,4,4,5,,2,24,1,12,18,4804,24,323_CapacitySweep_dump,100000,50,6,
1,4,11,1,1,,4,4,5,,2,24,1,12,19,4906,24,323_CapacitySweep_dump,100000,50,6,
1,5,11,1,1,,4,4,5,,2,24,1,12,20,4773,24,323_CapacitySweep_dump,100000,50,6,
1,6,11,1,1,,4,4,5,,2,24,1,12,21,4827,24,323_CapacitySweep_dump,100000,50,6,
1,7,11,1,1,,4,4,5,,2,24,1,12,22,4759,24,323_CapacitySweep_dump,100000,50,6,
1,8,11,1,1,,4,4,5,,2,24,1,12,23,4915,24,323_CapacitySweep_dump,100000,50,6,
1,9,11,1,1,,4,4,5,,2,24,1,12,24,4879,24,323_CapacitySweep_dump,100000,50,6,
1,10,11,1,1,,4,4,5,,2,24,1,12,25,4839,24,323_CapacitySweep_dump,100000,50,6,
1,11,11,1,1,,4,4,5,,2,24,1,12,26,4890,24,323_CapacitySweep_dump,100000,50,6,
1,12,11,1,1,,4,4,5,,2,24,1,12,27,4887,24,323_CapacitySweep_dump,100000,50,6,
1,13,11,1,1,,4,4,5,,2,24,1,12,28,4853,24,323_CapacitySweep_dump,100000,50,6,
1,14,11,1,1,,4,4,5,,2,24,1,12,29,4956,24,323_CapacitySweep_dump,100000,50,6,
1,15,11,1,1,,4,4,5,,2,24,1,12,30,4792,24,323_CapacitySweep_dump,100000,50,6,
1,1,11,1,1,,4,4,5,,2,24,1,12,31,4849,24,323_CapacitySweep_dump,100000,50,7,
1,2,11,1,1,,4,4,5,,2,24,1,12,32,4947,24,323_CapacitySweep_dump,100000,50,7,
1,3,11,1,1,,4,4,5,,2,24,1,12,33,4804,24,323_CapacitySweep_dump,100000,50,7,
1,4,11,1,1,,4,4,5,,2,24,1,12,34,4906,24,323_CapacitySweep_dump,100000,50,7,
1,5,11,1,1,,4,4,5,,2,24,1,12,35,4773,24,323_CapacitySweep_dump,100000,50,7,
1,6,11,1,1,,4,4,5,,2,24,1,12,36,4827,24,323_CapacitySweep_dump,100000,50,7,
1,7,11,1,1,,4,4,5,,2,24,1,12,37,4759,24,323_CapacitySweep_dump,100000,50,7,
1,8,11,1,1,,4,4,5,,2,24,1,12,38,4915,24,323_CapacitySweep_dump,100000,50,7,
1,9,11,1,1,,4,4,5,,2,24,1,12,39,4879,24,323_CapacitySweep_dump,100000,50,7,
